Open,High,Low,Close,Volume,Dividends,Stock Splits
28.132559658981112,28.261984825328476,28.1207929186984,28.231393814086914,92844000,0.0,0.0
28.337287167812246,28.732625581810456,28.30434244959177,28.68085479736328,129510400,0.0,0.0
28.63144118163046,28.812638949102745,28.614968820528684,28.694978713989258,105350400,0.0,0.0
28.742040028153607,28.79145710791413,28.614966767904008,28.697328567504883,82251600,0.0,0.0
28.457300945898222,28.62202453613281,28.39376521690845,28.622024536132812,121510000,0.0,0.0
28.509075615928406,28.565552026656352,28.384356052700856,28.55613899230957,196804000,0.0,0.0
29.892756774451907,30.70696711948467,29.88805115536009,30.297508239746094,447940000,0.0,0.0
30.11631570421372,30.448116646150705,30.069250531183553,30.24574089050293,134841600,0.0,0.0
30.193964384620788,30.40104751606422,30.15866775571787,30.37516212463379,98029200,0.0,0.0
30.38693166496577,30.709319541006607,30.332805374719847,30.659900665283203,107383600,0.0,0.0
30.718727873566966,31.083475264397457,30.697549896276744,30.951696395874023,152735200,0.0,0.0
30.909350082035907,31.114077774439803,30.878757267049217,31.071718215942383,92016400,0.0,0.0
31.11424699499772,31.30332024758531,30.988986731491316,31.29623031616211,113399600,0.1425,0.0
31.305696576005765,31.41913912351051,31.208796005339376,31.225337982177734,80262000,0.0,0.0
31.452222505326635,31.627115931130067,31.374229637317256,31.50185203552246,92141600,0.0,0.0
31.54439392159657,31.927264706493954,31.49239867842866,31.910722732543945,132904800,0.0,0.0
32.02889311983275,32.20614864730144,31.816184323106555,32.026527404785156,142492400,0.0,0.0
32.064345188301886,32.11870254438044,31.868181957100838,31.988718032836914,90338400,0.0,0.0
31.929634146640613,32.10216187022246,31.929634146640613,32.07616424560547,88792800,0.0,0.0
32.19668936886817,32.319587530477115,32.13760419970825,32.307769775390625,98028800,0.0,0.0
32.24395338220833,32.40702900889392,32.16832624892166,32.404666900634766,83347600,0.0,0.0
32.4684920851256,32.492123995412385,32.21324365262312,32.267601013183594,83152800,0.0,0.0
32.12106145236469,32.298316955566406,31.972165675668073,32.298316955566406,87106400,0.0,0.0
32.41175852293788,32.48266144340598,32.20850540760793,32.362125396728516,81029600,0.0,0.0
32.39758968675189,32.482672499017426,32.307779049840065,32.376319885253906,93931600,0.0,0.0
32.58902094936954,33.12314966540945,32.52048372898525,33.03806686401367,145658400,0.0,0.0
33.087692572749646,33.153867669393364,32.79462885456155,32.84189987182617,104844000,0.0,0.0
32.79936484631104,33.04752332366565,32.75445953248924,33.03570556640625,84432400,0.0,0.0
32.938810667962365,33.03334913601587,32.75683087872277,32.93172073364258,87000000,0.0,0.0
32.86554010436813,33.082973135061785,32.801727099904525,32.97425842285156,69785200,0.0,0.0
32.83954256370357,33.04043361968687,32.80882072214392,32.85136032104492,74828800,0.0,0.0
32.78990597318248,32.801720121707454,32.390489662427825,32.77572250366211,88623600,0.0,0.0
32.91044281194677,32.93644043346386,32.766274839219825,32.88444519042969,78451200,0.0,0.0
32.81590733968047,32.952981770916274,32.80881740724665,32.898624420166016,69686800,0.0,0.0
32.92225260236474,33.00496966443345,32.81353431879736,32.8489875793457,61236400,0.0,0.0
32.94825271525051,33.26494833836619,32.858442109246354,33.1964111328125,102767200,0.0,0.0
33.25787957824,33.32878254357481,33.149161217223345,33.250789642333984,76928000,0.0,0.0
33.32403373632129,33.32403373632129,33.06169545414617,33.085330963134766,175540000,0.0,0.0
33.1822265778947,33.442202741361164,33.14204909922665,33.4327507019043,86168000,0.0,0.0
33.58637535356279,33.74945100546914,33.023883361485275,33.04988098144531,158119600,0.0,0.0
33.05225621401015,33.46585253757201,33.03098280517321,33.423309326171875,103440800,0.0,0.0
33.385481151048324,33.46111189511143,33.23186116079464,33.30512619018555,81385200,0.0,0.0
33.442205762992074,33.49892882367505,33.17041542721529,33.23895263671875,89582400,0.0,0.0
32.943520713975836,33.37602450543823,32.76153741667516,33.29566955566406,94300400,0.0,0.0
33.30277331287631,34.04251734957693,33.23423248128646,33.98579788208008,133499200,0.0,0.0
33.95742615289197,34.14886512721904,33.84162153117979,34.06141662597656,116760000,0.0,0.0
34.07796471195652,34.15122974894716,33.91488905864303,34.01651382446289,84829200,0.0,0.0
33.966889064402025,34.09687718356055,33.799085563984065,33.95270919799805,78646800,0.0,0.0
33.96452010319995,34.06141703950291,33.8085343916793,33.962154388427734,79942800,0.0,0.0
33.855803261862505,34.24340184256416,33.83689557423405,34.21504211425781,79565600,0.0,0.0
34.08505962953028,34.37812342662984,33.98815906682721,34.03779220581055,110871600,0.0,0.0
34.101601401513044,34.155962364425946,33.903076059310884,33.95270919799805,84596000,0.0,0.0
33.969244099319454,34.075596681474714,33.86052940867986,33.877071380615234,66688800,0.0,0.0
33.93852718362946,34.004702293508636,33.773085802658514,33.83689880371094,75733600,0.0,0.0
33.78253276504249,33.879433296121434,33.101870545542546,33.47292709350586,121517600,0.0,0.0
33.465843696979015,33.595828193598905,33.326399946818064,33.51311111450195,81400000,0.0,0.0
33.539099029441836,33.65017941192603,33.335845947265625,33.335845947265625,71291600,0.0,0.0
33.437481947425475,33.532020393228215,33.29331397306513,33.52020263671875,66328400,0.0,0.0
33.42094050867247,33.5698327030032,33.35003757475292,33.371307373046875,58790000,0.0,0.0
33.53202100757158,33.5603807386955,33.194051917828375,33.248409271240234,69313600,0.0,0.0
33.376027970177134,33.777806367028106,33.361848107718146,33.664363861083984,93278400,0.0,0.0
33.664364949839694,33.721084401510026,33.52492482278698,33.62418746948242,69283600,0.0,0.0
33.91489522967378,34.021247838407625,33.839264464004046,33.94798278808594,68537200,0.0,0.0
